Vector.num.1,Vector.num.2,Vector.num.3,Vector.num.4,Vector.num.5,Vector.num.6,Vector.num.7,Vector.num.8,Vector.num.9,Vector.num.10
0.530197409,-0.718744613,-0.669745368,0.358714533,-0.585514742,-0.974378269,-0.197185174,-0.686432436,0.416179786,-0.99553594
0.999145587,0.993510756,-0.122438336,-0.565947315,0.962512483,0.994847422,0.560753555,0.192667992,0.987416647,0.64559733
-0.652419404,0.639845884,-0.235227938,-0.649793404,0.574423926,0.267570021,-0.987193877,-0.590308034,-0.941625797,0.060322543
0.181021973,0.93003333,0.526835695,-0.955018585,0.887157744,-0.622457623,0.924201661,0.792713698,-0.475068212,0.681317254
0.666732768,-0.89517499,-0.988108945,-0.687041035,-0.288551982,0.189918786,-0.767145075,-0.103144995,0.23281824,-0.993580921
-0.835437532,-0.503471356,0.997739581,0.885005067,-0.95646986,-0.950485663,0.624359123,-0.189632197,-0.988226014,0.709803335
-0.630429334,-0.50338513,-0.953212572,0.140467875,0.84845574,-0.995245239,-0.120968269,-0.279223189,0.900624557,-0.917867964
0.998378886,0.954145644,0.867660478,0.928881775,0.667738336,-0.004006946,-0.994918461,0.180844197,0.436531142,-0.99265724
-0.987424324,-0.999802223,0.009056882,-0.977771651,-0.972847316,0.988312541,-0.925265153,0.004216034,0.018192808,-0.064654633
0.699774427,-0.97518436,-0.718994709,0.627972811,0.433313126,0.860091623,-0.842594144,0.826859069,0.95070698,0.435548317
0.852963366,0.862383428,-0.935038536,0.679123004,-0.990904293,-0.952382443,0.349974034,-0.745328994,-0.011001724,0.596670332
-0.13124915,-0.959773866,-0.999278245,0.92679763,0.704748034,0.964730895,-0.347430578,-0.151435307,-0.305823158,-0.716073493
0.431786035,0.816059241,-0.958716558,-0.010735732,0.750463144,0.874276841,-0.993657633,0.41755908,-0.010454756,0.749075031
-0.497024207,0.839575407,0.400264823,0.121006294,0.992924045,-0.870010567,0.981297181,0.730203198,-0.013344791,-0.878686291
0.778849886,0.994304908,0.917282082,-0.94734288,-0.486157032,0.999903011,0.252502459,0.613542448,0.940252975,0.671861596
-0.996869283,0.922090921,-0.893967623,0.869180351,0.792542385,0.464824729,-0.576083079,-0.709182606,0.616005385,0.99416066
0.829541057,0.648812142,-0.982799708,0.691207814,0.781957071,-0.677274597,0.907809294,-0.905144247,-0.759678285,0.811713083
0.143283436,0.908073444,0.864422592,-0.670621263,0.554350874,-0.39412176,0.998903981,-0.906078894,0.36106375,-0.781534281
-0.954212463,0.42515979,-0.769401799,-0.368515528,-0.213628285,0.999827687,0.674683242,-0.930754334,0.94718466,0.996895916
-0.97939632,0.768024592,-0.99994457,0.706468727,0.200445634,-0.7911394,0.752346346,0.134089974,0.971080998,-0.939063632
-0.984581854,-0.69494629,0.017380152,0.766435197,0.225984417,-0.021036552,-0.446683884,-0.709840049,-0.607141734,0.600963386
0.595488749,-0.440960226,-0.645254588,0.763554697,-0.952961547,-0.4348539,-0.967354715,-0.740145154,-0.535688414,-0.865032574
0.863075819,0.153481933,0.171944827,0.88757454,0.569190071,0.999673276,-0.994173824,0.885585534,0.990448691,0.899504671
0.544925964,0.692644829,0.766121483,-0.967877984,0.717886617,-0.991494114,-0.092727525,-0.734707897,-0.562656915,0.758767904
0.672511936,-0.381695228,-0.672932539,-0.633104331,0.952535322,0.999918938,0.885360012,0.494013603,0.985126719,0.672248415
0.528330447,-0.598764674,0.519527456,-0.283774766,-0.904258816,-0.873220856,0.091874305,-0.929932065,-0.769315116,0.67534178
0.931456004,0.825706027,0.057718209,-0.180963397,0.999622371,0.540194618,-0.996751701,-0.995795385,0.665838685,-0.588179581
0.065749482,0.729952298,0.86934053,0.997623613,-0.909791658,-0.525998782,0.915381748,-0.981866766,-0.805137612,-0.378536508
0.432512579,-0.995651619,0.194542537,0.959122482,-0.453399208,-0.99795964,-0.183885663,-0.903428506,0.994389139,0.986214222
0.56191628,-0.282909023,0.961798153,0.07290014,0.894389909,0.834691143,-0.981573695,0.212808918,0.086881234,-0.94618535
-0.106842176,0.838950771,-0.997431668,-0.734436526,0.538780646,-0.743087924,-0.970922911,-0.580730974,0.928244631,-0.991187129
-0.395609751,-0.26694147,-0.09914607,-0.055939561,-0.458500319,0.459655158,0.751977184,-0.707081386,-0.934179405,0.398159543
0.944020909,-0.896175266,-0.385858253,-0.449060629,-0.112196863,0.287796042,0.611821781,-0.612212414,-0.455389671,-0.759542301
0.670610637,-0.434317624,-0.594558298,-0.011392523,-0.502538501,0.472711929,-0.977271922,-0.991041844,0.660492103,0.924191224
0.987244814,0.96136308,0.670525074,-0.965455666,0.838330595,0.998636169,-0.986658284,-0.963964921,-0.233415765,-0.458755965
0.676462977,0.449083073,0.144261462,-0.365243573,-0.566983264,0.649699555,0.469286978,-0.135485959,0.36234426,0.651337047
0.025076713,-0.879881602,-0.823330324,0.323182696,0.955940563,0.029925098,0.783409492,0.583408266,0.800274113,-0.550789176
0.070558598,0.805975389,0.989156783,-0.695727626,0.750474931,0.329906259,-0.958123952,0.058531421,0.347808807,0.209108231
-0.507287745,0.93079602,0.088531062,0.733628565,-0.035636775,0.686580422,-0.948470597,0.54804117,0.845615326,-0.595190034
-0.953776564,-0.977402156,-0.108485697,-0.629844122,0.082695882,-0.273243062,0.958269178,-0.57524946,0.078053984,0.898968632
-0.626721634,-0.40003639,0.845705058,0.91640279,0.457568127,0.317560204,-0.030152625,0.276089294,0.941635946,0.429173023
-0.991966443,-0.673518362,0.290562094,-0.669908087,-0.778732447,0.999871378,0.812494741,0.664587692,-0.256808644,-0.933833163
0.980827845,-0.617240522,-0.827465568,-0.939502034,0.999288217,0.768390567,-0.773250404,-0.9784941,0.739376549,0.83157037
0.862756286,-0.837986784,-0.996180167,0.877198216,-0.998619643,-0.963546141,-0.502126488,-0.230215217,0.916421941,0.977427978
0.529328286,0.835314192,0.850335616,0.638087707,-0.033596918,-0.947963478,-0.224831717,-0.88503454,0.041513266,-0.003339653
-0.04847979,-0.41026084,-0.269132478,-0.428002191,0.960995383,-0.925545147,0.961752669,-0.391530131,0.933975693,0.434505195
-0.033866486,0.639834779,0.169955057,0.995927945,-0.980782577,-0.198368983,-0.170531569,-0.943402245,0.393320859,0.167618769
0.847207921,0.992123953,-0.953587766,0.214760097,0.971371465,0.132243663,-0.263729138,-0.676728361,0.973959483,0.801202883
-0.351482478,-0.785409723,-0.385015307,-0.906121359,-0.375761882,-0.906840654,0.750993377,0.517844921,-0.997527657,0.935504147
-0.662698695,0.997590379,0.974074369,-0.496379391,-0.633361557,-0.683393905,-0.08945518,0.584529864,-0.578403575,0.752366608
0.755861012,0.429330028,-0.548180471,0.001641402,-0.829326958,-0.070979061,0.984224898,0.374278182,0.183353785,0.249052415
0.879081147,-0.838276689,-0.99686754,-0.817245703,-0.980462672,0.932583622,0.669456462,-0.901685044,-0.442053325,0.675795167
-0.846916958,0.214395325,-0.366479649,0.986113395,0.564074751,0.894386499,-0.176739918,-0.967228625,-0.058281095,0.828841489
0.872033507,0.998524995,0.759865223,-0.947976253,0.381982581,0.855334121,-0.988233578,-0.992049582,-0.289346604,0.746401791
0.610191533,-0.222625505,-0.993279607,0.905866558,-0.963511679,-0.887555573,-0.99952741,-0.995422988,0.993128879,-0.628661542
-0.806832988,-0.52396298,0.89948836,-0.244886958,-0.195586891,0.951214179,-0.061352786,-0.472182871,0.215173113,0.121809418
-0.125207077,0.973257356,-0.405395035,0.904705037,0.921813331,0.616780665,-0.780638835,-0.209481309,0.203880326,0.925437708
-0.849936293,-0.354054388,0.965902878,0.2977214,0.939518817,0.496688033,0.451627238,-0.704544263,-0.967965668,-0.983878453
-0.757024706,-0.59539495,0.905976926,-0.182195453,-0.405547863,-0.903001252,-0.757289353,-0.46603057,-0.967902208,-0.035897658
-0.83044959,0.995377647,0.561471255,0.893449816,0.906219118,0.430933404,0.466217024,0.332786885,0.957152362,0.995777102
0.373633462,-0.829139541,-0.855402436,0.13310607,0.347284789,-0.926986433,-0.720179152,0.992400998,0.542609281,-0.106460405
0.953978741,-0.830829004,0.497763977,0.098107672,0.720086473,-0.379026772,-0.792119858,-0.868864297,0.527956815,-0.873166016
0.415681414,0.391436798,-0.896053936,-0.915349865,-0.177293851,-0.239615549,-0.843869004,0.861287109,0.997283533,-0.819320859
0.421992471,0.532736327,-0.600463955,-0.139813156,0.996572052,0.01773148,0.933529426,-0.645195546,-0.829202927,0.093614625
-0.725983202,0.994114498,0.150683722,0.453567732,0.944021431,-0.914230333,0.973288701,0.910154428,0.805577004,0.707932159
0.884108693,0.996521955,-0.194774381,0.360560955,-0.393116986,-0.032607706,0.998748573,0.276324159,-0.719318039,0.23964663
0.985018243,0.579381959,0.900742498,-0.646379669,0.033839414,0.947793641,0.65552481,-0.237390086,0.200319033,-0.997426875
0.352783791,0.728974279,0.422339584,-0.35720648,-0.82959345,-0.997840526,0.996459563,0.62777106,0.949959857,0.602934012
-0.711292153,0.396834942,-0.997571072,0.069063177,0.57314329,0.217325996,0.987166997,-0.897729846,0.705580019,0.985339512
-0.950003316,-0.075591055,-0.082320744,0.846697615,0.504024236,0.756901308,0.802875986,-0.832513127,0.553129687,-0.697908853
0.673089288,0.729222047,0.991895064,0.397053494,0.451309788,-0.168921599,0.270512529,-0.964728761,0.539629086,-0.674284846
0.629529348,0.720129728,0.995564881,0.813342898,0.99989016,0.928972409,0.240026419,0.557467637,0.974705513,0.992177928
0.427458606,-0.712561719,-0.848433893,0.635965424,0.713380327,-0.476285218,0.698992886,-0.611801568,-0.463800191,0.90430124
0.844435298,0.439946118,-0.813163782,-0.261461451,-0.956532764,0.543321799,-0.993332694,-0.177515897,0.573230238,-0.976684315
0.071071426,0.471678547,-0.540914135,-0.901285017,0.986734809,0.999931984,-0.004056925,-0.371563064,-0.67337915,0.53817196
-0.790228064,0.811386522,-0.780827362,-0.971343413,-0.974619174,-0.864653861,-0.026603725,0.109995502,-0.678745348,-0.683122477
-0.996346405,-0.891219588,-0.716984748,-0.942616178,0.368365086,0.281350675,0.124599614,-0.491569868,-0.931973364,0.349363742
0.593116523,0.959363255,0.827403644,0.999142186,0.315586848,0.634183881,-0.999466677,-0.674635056,0.089306517,0.557740263
-0.871821548,-0.526168757,0.419678723,0.56010831,-0.973699079,0.368036646,0.139634516,0.984364684,0.929772908,-0.964709227
0.611900141,-0.2325167,0.984268658,0.271034632,0.976073023,-0.37085938,-0.88160657,-0.842519155,-0.015440421,-0.484923182
-0.385080988,-0.980129749,0.455784504,-0.985614995,0.652406827,0.994003878,0.756395256,-0.573452974,0.808856997,0.223421748
0.963413027,-0.273960211,-0.579327122,-0.493210762,0.963389237,0.876204996,0.597260666,-0.966341412,-0.615444836,0.787949716
-0.998741368,-0.011305662,-0.564633997,-0.919579052,-0.658453183,-0.73747979,0.186682513,-0.961861321,-0.292062919,0.912091553
0.63514698,0.81048692,-0.821644188,-0.617115762,0.215806059,-0.860428189,0.974500723,-0.260620395,0.516243709,0.512461719
-0.287013489,0.695502161,-0.400289774,0.25728964,-0.500949131,-0.874514065,-0.816655073,-0.858209097,-0.494727687,0.108118253
-0.506609096,-0.999013992,-0.945398924,0.768493649,-0.993855305,-0.947827136,-0.974215075,-0.777151661,0.98960362,0.562212945
0.025939989,0.981539473,-0.997065867,0.391137245,-0.164205657,0.180658592,0.854797539,-0.176994945,-0.709105778,0.490735226
-0.854827029,-0.968351962,-0.883620875,-0.811505944,-0.743999859,0.613111973,-0.583614039,-0.949826586,0.755449213,-0.955852636
-0.909404049,-0.728090262,0.449969256,-0.51629268,-0.903822543,-0.837489971,0.971213909,0.562782806,0.467505824,0.575690312
-0.842562674,0.897170621,-0.959280828,0.402023797,0.878099792,0.329589489,-0.599333613,-0.709316286,0.597653708,0.383206586
-0.227810509,-0.755036001,0.956248837,0.736521071,0.997700293,-0.874604264,0.611089883,-0.681864337,-0.081366277,0.606037575
